FIPS,wkt_geom
01037,"32.75433,-86.00546 32.75615,-86.31586 32.75919,-86.37630 32.76646,-86.39239 32.76838,-86.39558 32.79770,-86.43538 32.82254,-86.46117 32.93657,-86.51859 32.93887,-86.51959 32.94710,-86.52093 33.00921,-86.52734 33.06319,-86.51929 33.09981,-86.50913 33.10594,-86.49959 33.11112,-86.48898 33.10962,-86.00399 33.09319,-86.00307 32.94837,-86.00401 32.81491,-86.00497 32.75433,-86.00546"
01039,"30.99136,-86.38397 30.99690,-86.70189 31.44374,-86.70467 31.52862,-86.70281 31.53783,-86.29733 31.53679,-86.27695 31.44941,-86.19348 31.02047,-86.18049 30.99262,-86.18163 30.99136,-86.38397"
01041,"31.44941,-86.19348 31.45045,-86.26000 31.45717,-86.40038 31.52980,-86.50183 31.66494,-86.50218 31.97108,-86.44915 32.05918,-86.40090 32.05819,-86.30035 31.97283,-86.18813 31.95210,-86.18142 31.94197,-86.17860 31.93830,-86.17767 31.79398,-86.14320 31.54782,-86.14000 31.44941,-86.19348"
01043,"33.86035,-86.96799 33.86292,-86.98119 33.89024,-87.08933 33.89207,-87.09038 33.94112,-87.10880 33.95205,-87.10957 33.96980,-87.11069 34.30259,-87.11047 34.31577,-87.11006 34.31003,-86.57996 34.30840,-86.48041 34.29190,-86.45824 34.27756,-86.44878 34.26574,-86.44869 33.99744,-86.73798 33.96155,-86.77803 33.87217,-86.92667 33.86823,-86.93343 33.86107,-86.95912 33.86035,-86.96799"
01045,"31.20370,-85.70787 31.20482,-85.79560 31.62309,-85.79092 31.62608,-85.74343 31.62514,-85.41683 31.32317,-85.41652 31.29759,-85.41674 31.26165,-85.48391 31.20370,-85.70787"
01047,"32.05307,-87.16955 32.27078,-87.46355 32.27451,-87.46833 32.31004,-87.46688 32.48469,-87.42220 32.70432,-87.01470 32.66558,-86.91239 32.43130,-86.83144 32.37027,-86.81448 32.22974,-86.80945 32.05746,-86.91095 32.05307,-87.16955"
01049,"34.20560,-86.10035 34.41565,-86.13126 34.48269,-86.06085 34.84937,-85.60726 34.85759,-85.59451 34.86224,-85.58311 34.52293,-85.51190 34.38734,-85.61655 34.38293,-85.62067 34.37856,-85.62590 34.20734,-85.84346 34.20560,-86.10035"
01051,"32.41133,-86.04278 32.41592,-86.40605 32.75345,-86.41635 32.77403,-86.33643 32.77388,-86.31460 32.76385,-85.95975 32.75350,-85.89145 32.74972,-85.88726 32.74514,-85.88638 32.48923,-85.86591 32.48562,-85.86716 32.46459,-85.87953 32.46061,-85.88352 32.41133,-86.04278"
01053,"30.99690,-86.70189 31.00245,-87.59859 31.00658,-87.61531 31.04314,-87.61607 31.24955,-87.61288 31.27059,-87.48442 31.27133,-87.42496 31.26938,-86.76371 31.20070,-86.70235 30.99690,-86.70189"
01055,"33.85304,-86.05262 33.91629,-86.33944 33.92318,-86.35854 33.92806,-86.37108 34.05301,-86.33278 34.07722,-86.32014 34.10494,-86.30291 34.11593,-86.28914 34.17986,-86.20148 34.18685,-86.19119 34.19126,-86.17044 34.20560,-86.10035 34.20734,-85.84346 34.13619,-85.79404 34.13016,-85.79044 34.00150,-85.73614 33.97052,-85.73486 33.94464,-85.73666 33.85611,-86.01818 33.85304,-86.05262"
